Model	MSRP	Bore	Displacement	Clearance	Engine strokes	Wheelbase
HondaCR85R	2999	48	84.0	12.20	2	49.10
HondaCR85RB	3099	48	84.0	13.90	2	49.10
HondaCRF100F	2249	53	99.0	10.00	4	49.20
HondaCRF150F	2999	64	157.0	10.00	4	52.20
HondaCRF230F	3499	66	223.0	11.70	4	54.10
HondaCRF250R	5899	78	249.0	14.20	4	58.20
HondaCRF250X	6199	78	249.0	14.20	4	58.60
HondaCRF450R	6699	96	449.0	13.40	4	58.70
HondaCRF450X	6999	96	449.0	13.70	4	58.20
HondaCRF50F	1249	39	49.0	5.80	4	36.00
HondaCRF70F	1549	47	72.0	7.00	4	42.00
HondaCRF80F	1949	48	80.0	8.60	4	47.60
HondaXR250R	4699	73	249.0	12.40	4	55.10
HondaXR400R	5299	85	397.0	12.20	4	56.10
KawasakiKDX200	4099	66	198.0	13.40	2	56.50
KawasakiKDX220R	4499	69	216.0	13.40	2	56.50
KawasakiKDX50	1099	41	49.0	4.50	2	33.90
KawasakiKLR250	4099	74	249.0	10.60	4	55.70
KawasakiKLX110	1649	53	111.0	7.50	4	41.90
KawasakiKLX125	2299	57	124.0	10.20	4	49.00
KawasakiKLX125L	2499	57	124.0	11.40	4	50.00
KawasakiKLX300R	4799	78	292.0	12.60	4	56.50
KawasakiKX100	3349	52	99.0	15.00	2	50.80
KawasakiKX125	5099	54	124.0	13.40	2	57.90
KawasakiKX250	5999	66	294.0	13.40	2	58.30
KawasakiKX250F	5599	77	249.0	13.40	4	58.10
KawasakiKX65	2799	45	65.0	12.00	2	44.10
KawasakiKX85	2999	48	84.0	13.40	2	49.40
KTM125SX	5298	54	125.0	15.35	2	57.91
KTM200EXC	5848	64	193.0	15.35	2	58.10
KTM250EXC	6398	66	249.0	15.15	2	58.10
KTM250SX	6248	66	249.0	15.10	2	58.10
KTM300EXC	6498	72	293.0	15.15	2	58.10
KTM300MXC	6398	72	293.0	15.15	2	58.30
KTM400EXC	7198	89	398.0	15.15	4	58.30
KTM450EXC	7289	89	447.0	15.15	4	58.30
KTM450MXC	7048	89	448.0	15.15	4	58.30
KTM450SX	6498	95	449.0	15.00	4	58.30
KTM50MINI	1598	40	49.0	7.48	2	35.63
KTM50SENIOR	2148	40	49.0	10.04	2	40.55
KTM50SXPROJUNIOR	2998	40	49.0	8.66	2	35.82
KTM50SXPROSENIOR	3298	40	49.0	10.04	2	40.55
KTM525EXC	7548	95	510.0	15.15	4	58.30
KTM525MXC	7348	95	510.0	15.15	4	58.30
KTM525SX	6798	95	510.0	15.00	4	58.30
KTM65SX	3498	41	65.0	11.41	2	44.76
KTM85SX	3598	49	86.0	16.33	2	50.31
SuzukiDR200SE	3899	66	199.0	10.20	4	55.30
SuzukiDR200SE	3899	66	199.0	10.20	4	55.30
SuzukiDRZ110	1699	53	111.0	7.50	4	41.90
SuzukiDRZ125	2299	57	124.0	10.20	4	49.00
SuzukiDRZ125L	2499	57	124.0	11.40	4	50.00
SuzukiDRZ250	4699	73	249.0	11.80	4	57.30
SuzukiDRZ400E	5499	90	398.0	12.80	4	58.10
SuzukiDRZ400S	5499	90	398.0	11.80	4	58.50
SuzukiDRZ400S	5499	90	398.0	11.80	4	58.50
SuzukiJR50	1099	41	49.0	4.50	2	33.90
SuzukiRM125	5099	54	125.0	13.80	2	57.10
SuzukiRM250	5999	66	249.0	13.80	2	57.90
SuzukiRM65	2849	44	65.0	12.00	2	44.10
SuzukiRM85	3099	48	85.0	12.80	2	48.80
SuzukiRM85L	3199	48	85.0	14.00	2	50.40
SuzukiRMZ250	5599	77	249.0	13.40	4	58.10
SuzukiRMZ450	6499	96	449.0	13.80	4	58.50
YamahaPW50	1079	40	49.0	4.10	2	33.70
YamahaPW80	1249	47	79.0	7.30	2	41.00
YamahaTTR125E	2399	54	124.0	10.40	4	49.00
YamahaTTR125L	2499	54	124.0	11.60	4	50.00
YamahaTTR230	3299	70	223.0	12.00	4	54.10
YamahaTTR250	4399	73	249.0	12.00	4	55.30
YamahaTTR90E	1699	47	89.0	6.30	4	40.90
YamahaTW200	3699	67	196.0	10.40	4	52.20
YamahaWR250F	5899	77	249.0	14.57	4	58.10
YamahaWR450F	6599	95	449.0	14.57	4	58.40
YamahaYZ125	5299	54	124.0	15.80	4	58.30
YamahaYZ250	6099	66	249.0	15.60	2	58.00
YamahaYZ250F	5699	77	249.0	15.00	4	58.50
YamahaYZ450F	6399	95	449.0	14.60	4	49.50
YamahaYZ85	3099	47	85.0	13.80	2	58.00
HusabergFC450	8998	100	449.0	14.90	4	58.00
HusabergFC550	8998	100	549.0	14.90	4	58.00
HusqvarnaTC250	5999	76	249.0	13.40	4	58.00
HusqvarnaTC510	6899	97	501.0	13.40	4	58.00
HusqvarnaTC450	6499	97	449.0	13.40	4	58.00
HusqvarnaTE250	6299	76	249.0	13.40	4	57.00
HusqvarnaTE450	6889	97	449.0	13.40	4	57.00
HusqvarnaTE510	7199	97	501.0	13.40	4	58.86
HusqvarnaSM510R	6799	97	501.0	10.63	4	51.97
HusqvarnaSM450R	7299	97	449.0	10.63	4	51.97
GasGasPRO125	5199	54	124.8	13.60	2	51.97
GasGasPRO200	5299	64	175.3	13.60	2	51.97
GasGasPRO280	6249	76	272.2	13.60	2	51.97
GasGasPRO280	6249	76	272.2	13.60	2	58.50
